address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,phone,price_range,restaurant_name,review_score
Faisal Al Saud Street, Al Khobar 34422 Saudi Arabia,Eastern_Province,"  , Seafood, International, Halal", Seafood,"Faisal Al Saud Street, Al Khobar 34422 Saudi Arabia",107,+ Add hours,4 of 20 Seafood in Al Khobar,966 3 898 4999, 143 -  166, The Blue Restaurant,4.5 
101 Street Al Sanaiyah, Al Jubail 31961 Saudi Arabia,Eastern_Province,"  , Middle Eastern, International, Vegetarian Friendly", Middle Eastern,"101 Street Al Sanaiyah, Al Jubail 31961 Saudi Arabia",116,+ Add hours,1 of 3 International in Al Jubail,966 13 356 4092,, Al Tuwayah Buffet Restaurant,4.5 
King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Moroccan, Mediterranean, Middle Eastern", Moroccan,"King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia",153,Closed Now:See all hours,1 of 1 Moroccan in Al Khobar,966 13 898 8840,, Marrakesh Restaurant,4.5 
Prince Turkey Street, Al Khobar Saudi Arabia,Eastern_Province,"  , Steakhouse, Barbecue, Halal", Steakhouse,"Prince Turkey Street, Al Khobar Saudi Arabia",93,+ Add hours,3 of 10 Steakhouse in Al Khobar,966 13 808 5182,, The Butcher Shop and Grill,4.5 
On the same side as the Tammimi Safeway Supermarkets down on the Corniche, Dammam Saudi Arabia,Eastern_Province,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"On the same side as the Tammimi Safeway Supermarkets down on the Corniche, Dammam Saudi Arabia",192,+ Add hours,1 of 9 Lebanese in Dammam,966 3 895 2225, 19 -  150, Abu Nawas,4.0 
Al Malik Khalid Street Al Ahsa Intercontinetal, Al Ahsa 31982 Saudi Arabia,Eastern_Province,", International, Mediterranean, Middle Eastern", International,"Al Malik Khalid Street Al Ahsa Intercontinetal, Al Ahsa 31982 Saudi Arabia",38,+ Add hours,1 of 4 International in Al Ahsa,966 13 533 5555, 130 -  220, The Med,5.0 
Prince Faisal Bin Fahd Road, Al Khobar 34433 Saudi Arabia,Eastern_Province,"  , Seafood, Sushi, Asian", Seafood,"Prince Faisal Bin Fahd Road, Al Khobar 34433 Saudi Arabia",280,+ Add hours,5 of 20 Seafood in Al Khobar,966 3 331 4441,, Soul Kitchen,4.0 
Adanah Road,,Eastern_Province,"  , Steakhouse, American, Vegetarian Friendly", Steakhouse,"Adanah Road,, Al Jubail Saudi Arabia",77,Closes in 14 min:11:00 AM - 1:00 AM,2 of 6 American in Al Jubail,966 13 346 0803,, Outback Steakhouse Jubail,4.5 
14th Street Al Khobar Corniche, Al Khobar 34427 Saudi Arabia,Eastern_Province,", Pakistani, Indian, Asian", Pakistani,"14th Street Al Khobar Corniche, Al Khobar 34427 Saudi Arabia",315,Closed Now:See all hours,1 of 31 Indian in Al Khobar,966 50 246 9289, 19 -  245, Talwar - Indian Restaurant,4.5 
Intercontinental Hotel, Al Jubail 101 St Al- Sinaiyah,Eastern_Province,"  , Mexican, International, Vegetarian Friendly", Mexican,"Intercontinental Hotel, Al Jubail 101 St Al- Sinaiyah, Al Jubail 31961 Saudi Arabia",147,+ Add hours,1 of 2 Mexican in Al Jubail,966 13 356 4000, 94 -  132, The Ranch Restaurant,4.5 
Corniche Street, Dammam,Eastern_Province,"  , Middle Eastern, Halal, Vegetarian Friendly", Middle Eastern,"Corniche Street, Dammam, Dammam Saudi Arabia",130,+ Add hours,2 of 19 Middle Eastern in Dammam,966 3 809 0000, 38 -  113, Heritage Village,4.0 
King Fahd Rd Al Hizam Al Akhdar, Al Khobar 34433 Saudi Arabia,Eastern_Province,"  , French, Cafe, European", French,"King Fahd Rd Al Hizam Al Akhdar, Al Khobar 34433 Saudi Arabia",149,Closed Now:See all hours,1 of 10 French in Al Khobar,966 13 849 2211,, Madeleine French Bakery & Brasserie,4.0 
Sofitel, Al Khobar Saudi Arabia,Eastern_Province,", International, Middle Eastern, Vegetarian Friendly", International,"Sofitel, Al Khobar Saudi Arabia",69,+ Add hours,6 of 29 International in Al Khobar,966 13 881 7000,, Cafe Chic Sofitel Al Khobar,4.5 
Khobar Waterfront, Prince Turki Corniche Rd Al Khobar,Eastern_Province,"  , French, Cafe, European", French,"Khobar Waterfront, Prince Turki Corniche Rd Al Khobar, Ash Sharqiyah, Dhahran 34427 Saudi Arabia",96,Closed Now:See all hours,1 of 1 French in Dhahran,966 3 882 7138,, Pattis France,4.5 
Prince Faisal Bin Fahad Road Khobar North Al Khobar, Dammam 34426 Saudi Arabia,Eastern_Province,"  , Lebanese, Fast Food, Mediterranean", Lebanese,"Prince Faisal Bin Fahad Road Khobar North Al Khobar, Dammam 34426 Saudi Arabia",107,+ Add hours,2 of 9 Lebanese in Dammam,966 53 922 2673,, Manoosha Alreef,4.0 
Al Corniche, Al Khobar Saudi Arabia,Eastern_Province,"  , Japanese, Seafood, Sushi", Japanese,"Al Corniche, Al Khobar Saudi Arabia",155,Closed Now:See all hours,3 of 11 Japanese in Al Khobar,966 13 898 9595,, Fushi,4.0 
King Khaled Street Intercontinental Hotel, Al Ahsa Saudi Arabia,Eastern_Province,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,"King Khaled Street Intercontinental Hotel, Al Ahsa Saudi Arabia",50,+ Add hours,1 of 3 Lebanese in Al Ahsa,966 13 533 5555,, Al Bustan,4.5 
Corniche Road Fanateer, Al Jubail Saudi Arabia,Eastern_Province,"  , American, Vegetarian Friendly", American,"Corniche Road Fanateer, Al Jubail Saudi Arabia",103,+ Add hours,3 of 6 American in Al Jubail,,, Fuddruckers,4.0 
Le Meridien Al Khobar, Al Khobar 31952 Saudi Arabia,Eastern_Province,", Italian, Mediterranean, European", Italian,"Le Meridien Al Khobar, Al Khobar 31952 Saudi Arabia",44,+ Add hours,4 of 31 Italian in Al Khobar,966 13 896 9000,, Leonardo Restaurant,5.0 
Corniche Road, Dammam Saudi Arabia,Eastern_Province,"  , Brazilian, Barbecue, Halal", Brazilian,"Corniche Road, Dammam Saudi Arabia",88,+ Add hours,1 of 1 Brazilian in Dammam,,, Brasa de Brasil Churrascaria,4.0 
King Faisal Road Ground Floor, Khobar Pavilion Mall,Eastern_Province,"  , American, International, European", American,"King Faisal Road Ground Floor, Khobar Pavilion Mall, Al Khobar Saudi Arabia",21,Closed Now:See all hours,3 of 40 American in Al Khobar,966 13 891 4442, 40 -  70, The Breakfast Club,5.0 
Al Yarmuk St, Al Khobar Saudi Arabia,Eastern_Province,"  , Middle Eastern, Halal", Middle Eastern,"Al Yarmuk St, Al Khobar Saudi Arabia",143,Closed Now:See all hours,4 of 50 Middle Eastern in Al Khobar,966 9200 12321,, Restaurant Khobar Traditional Village,4.0 
Ibn Bassam Al Andalusi, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Fast Food, Deli, Grill", Fast Food,"Ibn Bassam Al Andalusi, Al Khobar 31952 Saudi Arabia",91,+ Add hours,1 of 27 Fast Food in Al Khobar,966 3 845 2822,, Quick Bites,4.5 
Prince Homoud St. Cross 22, Al Khobar Saudi Arabia,Eastern_Province,", Italian, Pizza, Fast Food", Italian,"Prince Homoud St. Cross 22, Al Khobar Saudi Arabia",142,Closed Now:See all hours,5 of 31 Italian in Al Khobar,966 13 887 1515,, Pizzarific,4.5 
Mall of Dhahran Blvd Dhahran Mall, Al Khobar Saudi Arabia,Eastern_Province,"  , Chinese, Asian, Thai", Chinese,"Mall of Dhahran Blvd Dhahran Mall, Al Khobar Saudi Arabia",113,+ Add hours,1 of 18 Chinese in Al Khobar,966 13 891 0190,, Bamboo Kitchen,4.0 
Al Shati 3rd St Al Danah Rd, Al Jubail Saudi Arabia,Eastern_Province,"  , Chinese, Indian, Seafood", Chinese,"Al Shati 3rd St Al Danah Rd, Al Jubail Saudi Arabia",36,Closed Now:See all hours,1 of 8 Chinese in Al Jubail,966 13 367 0192, 5 -  300, Taya Restaurant,5.0 
Prince Mohammed Bin Fahd Street Yaqoot Intersection, Dammam Saudi Arabia,Eastern_Province,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"Prince Mohammed Bin Fahd Street Yaqoot Intersection, Dammam Saudi Arabia",163,Closed Now:See all hours,3 of 9 Lebanese in Dammam,966 53 289 7666,, Beit Misk,4.0 
First Street, Dammam 5397 Saudi Arabia,Eastern_Province,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,"First Street, Dammam 5397 Saudi Arabia",57,+ Add hours,4 of 9 Lebanese in Dammam,966 13 834 5555, 150 -  301, Fayrouz Lebanese Restaurant,4.0 
Al-Dhugaither leisure Island Corniche Al-Khober Open Buffet Per Head SR 160 for adults , SR 80 for Kids above 10 years kids under 5 are Free.,Eastern_Province,"  , Steakhouse, Brazilian, Barbecue", Steakhouse,"Al-Dhugaither leisure Island Corniche Al-Khober Open Buffet Per Head SR 160 for adults , SR 80 for Kids above 10 years kids under 5 are Free., Al Khobar Saudi Arabia",139,Closes in 14 min:12:00 PM - 1:00 AM,4 of 10 Steakhouse in Al Khobar,966 13 881 4884,, Brasa de Brazil,4.0 
Dammam Saudi Arabia,,Eastern_Province,", Lebanese, Fast Food, Mediterranean", Lebanese,Dammam Saudi Arabia,25,+ Add hours,5 of 9 Lebanese in Dammam,966 13 815 2175, 5 -  22, Hamra Chicken,5.0 
1st Street King Fahad Street, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Chinese, Indian, Fusion", Chinese,"1st Street King Fahad Street, Al Khobar 31952 Saudi Arabia",73,Closed Now:See all hours,2 of 18 Chinese in Al Khobar,966 59 655 2000,, Classic Restaurant,4.0 
Prince Turky Road Fouad Centre, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Fast Food, American, Halal", Fast Food,"Prince Turky Road Fouad Centre, Al Khobar 31952 Saudi Arabia",178,Closes in 14 min:See all hours,4 of 40 American in Al Khobar,966 13 898 6936,, BurgerFuel Fouad Center,4.0 
Fanateer, City Center AlKhamis RD,Eastern_Province,", Middle Eastern, Lebanese, Vegetarian Friendly", Middle Eastern,"Fanateer, City Center AlKhamis RD, 35811, Al Jubail Saudi Arabia",68,Closes in 14 min:See all hours,1 of 5 Lebanese in Al Jubail,013377472,, Grillo,4.0 
Huwalyat Center Al Huwaylat District, Al Jubail Saudi Arabia,Eastern_Province,"  , American", American,"Huwalyat Center Al Huwaylat District, Al Jubail Saudi Arabia",107,+ Add hours,4 of 6 American in Al Jubail,966 13 340 0600,, Applebee's,3.5 
King Saud Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,", International, Barbecue, Grill", International,"King Saud Road, Al Khobar 31952 Saudi Arabia",29,Closed Now:See all hours,8 of 29 International in Al Khobar,966 13 829 4444,, Al Diwan,4.5 
Prince Turkey St, Cornishe,Eastern_Province,", Middle Eastern", Middle Eastern,"Prince Turkey St, Cornishe, Al Khobar 31952 Saudi Arabia",62,+ Add hours,6 of 50 Middle Eastern in Al Khobar,966 13 896 9000, 150 -  226, Le Cafe De Paris Le Meridien Alkhobar,4.0 
Near Jubail City Center, Al Jubail Saudi Arabia,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"Near Jubail City Center, Al Jubail Saudi Arabia",73,+ Add hours,2 of 14 Indian in Al Jubail,3610919,, CookXone,4.0 
Rezayat Village Compound, Al Khobar Saudi Arabia,Eastern_Province,"  , International, British", International,"Rezayat Village Compound, Al Khobar Saudi Arabia",54,+ Add hours,9 of 29 International in Al Khobar,966 13 882 5408,, Blue Strawberry Restaurant,4.0 
Al Khobar Saudi Arabia,,Eastern_Province,"  , American, Southwestern", American,Al Khobar Saudi Arabia,131,+ Add hours,5 of 40 American in Al Khobar,, 23 -  169, Chili's,4.0 
Corniche Rd,,Eastern_Province,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"Corniche Rd,, Al Khobar Saudi Arabia",46,+ Add hours,1 of 13 Lebanese in Al Khobar,966 9200 04102,, Fayrouz Garden,4.0 
Prince Mohammed Bin Fahd Rd, Dammam Saudi Arabia,Eastern_Province,"  , Lebanese, Mediterranean, Barbecue", Lebanese,"Prince Mohammed Bin Fahd Rd, Dammam Saudi Arabia",87,Closed Now:See all hours,6 of 9 Lebanese in Dammam,966 3 830 6465,, Al Shahrour,4.0 
King Faisal Street Al Khobar Business Gates, Al Khobar Saudi Arabia,Eastern_Province,"  , Japanese, Sushi, Asian", Japanese,"King Faisal Street Al Khobar Business Gates, Al Khobar Saudi Arabia",61,Closed Now:See all hours,4 of 11 Japanese in Al Khobar,966 3 849 4042,, Sushi Yoshi,4.0 
Prince Naif Rd, Al Hofuf 36362,Eastern_Province,", Seafood, Chinese, Japanese", Seafood,"Prince Naif Rd, Al Hofuf 36362, Al Ahsa Saudi Arabia",24,Closed Now:See all hours,1 of 3 Chinese in Al Ahsa,966 13 588 0087, 25 -  45, AlKeet Restaurant,4.5 
Prince Faisal Bin Fahad Road, Al Khobar Saudi Arabia,Eastern_Province,"  , American", American,"Prince Faisal Bin Fahad Road, Al Khobar Saudi Arabia",61,+ Add hours,8 of 40 American in Al Khobar,966 13 882 0260,, Parker's,4.0 
King Saud Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , International, Sushi, Cafe", International,"King Saud Road, Al Khobar 31952 Saudi Arabia",16,Closes in 13 min:10:00 AM - 1:00 AM,2 of 47 Cafe in Al Khobar,966 13 829 4444, 30 -  100, Sky Lounge,5.0 
9th Street, Prince Musaid Street 25th St,Eastern_Province,"  , Chinese, Asian, Pakistani", Chinese,"9th Street, Prince Musaid Street 25th St, Prince Saad Rd, Al Khobar 31952 Saudi Arabia",110,Closed Now:See all hours,3 of 18 Chinese in Al Khobar,966 13 898 2570, 94 -  150, Mughal,4.0 
Intercontinental hotel, Al Ahsa Saudi Arabia,Eastern_Province,"  , Indian, Chinese, Asian", Indian,"Intercontinental hotel, Al Ahsa Saudi Arabia",24,+ Add hours,2 of 3 Chinese in Al Ahsa,966 13 533 5555,, Silk road,4.5 
27th street intersection with Prince Saad Street, Al Khobar Saudi Arabia,Eastern_Province,"  , Italian, European, Vegetarian Friendly", Italian,"27th street intersection with Prince Saad Street, Al Khobar Saudi Arabia",54,+ Add hours,6 of 31 Italian in Al Khobar,966 13 898 8228,, Oliveto,4.5 
The Galleria Mall 2nd Floor Fanatir, Al Jubail 35811 Saudi Arabia,Eastern_Province,"  , Italian, European, Pizza", Italian,"The Galleria Mall 2nd Floor Fanatir, Al Jubail 35811 Saudi Arabia",39,Closed Now:See all hours,1 of 5 Italian in Al Jubail,966 55 331 6152,, Piatto Restaurant - Galleria Mall,4.0 
Prince Mansour Street, Al Khobar 34425 Saudi Arabia,Eastern_Province,"  , Barbecue, Middle Eastern, Halal", Barbecue,"Prince Mansour Street, Al Khobar 34425 Saudi Arabia",31,+ Add hours,5 of 21 Barbecue in Al Khobar,,, Alennabi Grill,4.5 
Prince Faisal Bin Fahd Road Pepsi Road, Al Khobar Saudi Arabia,Eastern_Province,", Mexican, American, Southwestern", Mexican,"Prince Faisal Bin Fahd Road Pepsi Road, Al Khobar Saudi Arabia",39,Closed Now:See all hours,1 of 6 Mexican in Al Khobar,966 13 897 7070,, Burrito Loco,4.5 
Al Ashriah Street AL Shatti Mall, Dammam Saudi Arabia,Eastern_Province,  ,Restaurants,"Al Ashriah Street AL Shatti Mall, Dammam Saudi Arabia",23,+ Add hours,10 of 103 Restaurants in Dammam,966 13 808 9319,, Balcony,4.5 
King Abdullah Bin Abdulaziz Road, Dammam Saudi Arabia,Eastern_Province,"  , Chinese, Indian, Asian", Chinese,"King Abdullah Bin Abdulaziz Road, Dammam Saudi Arabia",44,+ Add hours,11 of 103 Restaurants in Dammam,966 13 844 4904,, Oceana,4.0 
Al Khobar Saudi Arabia,,Eastern_Province,"  , Cafe, European, Vegetarian Friendly", Cafe,Al Khobar Saudi Arabia,29,+ Add hours,4 of 47 Cafe in Al Khobar,966 13 897 7711,, Circle,4.0 
Dhahran Mall, Dammam Saudi Arabia,Eastern_Province,"  , Steakhouse, Australian, Vegetarian Friendly", Steakhouse,"Dhahran Mall, Dammam Saudi Arabia",48,+ Add hours,2 of 2 Steakhouse in Dammam,966 13 891 7478,, Outback,4.0 
Al Khobar - South Al Khobar Corniche - Corniche Towers., Al Khobar 34611 Saudi Arabia,Eastern_Province,"  , Chinese, Asian, International", Chinese,"Al Khobar - South Al Khobar Corniche - Corniche Towers., Al Khobar 34611 Saudi Arabia",35,Closed Now:See all hours,4 of 18 Chinese in Al Khobar,966 13 864 0877,, Chinese Tandouri Restaurant,4.5 
3946 King Salman Ibn Abdul Aziz Road, Al Khobar 344236094 Saudi Arabia,Eastern_Province,"  , Cafe, Vegetarian Friendly, Vegan Options", Cafe,"3946 King Salman Ibn Abdul Aziz Road, Al Khobar 344236094 Saudi Arabia",40,Closed Now:See all hours,5 of 47 Cafe in Al Khobar,966 13 802 1625,, Cafe Bateel,4.0 
Al Rashid Mall, Al Khobar Saudi Arabia,Eastern_Province,"  , Chinese, Asian, Vegetarian Friendly", Chinese,"Al Rashid Mall, Al Khobar Saudi Arabia",103,+ Add hours,5 of 18 Chinese in Al Khobar,, 75 -  94, Gulf Royal Chinese Restaurant,4.0 
King Khaled Street 1411, Dammam 31431 Saudi Arabia,Eastern_Province,"  , Chinese, Asian, Vegetarian Friendly", Chinese,"King Khaled Street 1411, Dammam 31431 Saudi Arabia",42,Closed Now:See all hours,2 of 8 Chinese in Dammam,966 13 833 3444,, Red Dragon,4.5 
Dhahran Mall, Al Khobar Saudi Arabia,Eastern_Province,"  , Cafe, Vegetarian Friendly", Cafe,"Dhahran Mall, Al Khobar Saudi Arabia",56,+ Add hours,6 of 47 Cafe in Al Khobar,,, Dip n Dip,4.0 
King Salman Bin Abdulaziz Road, Al Khobar Saudi Arabia,Eastern_Province,", Middle Eastern, Armenian, Eastern European", Middle Eastern,"King Salman Bin Abdulaziz Road, Al Khobar Saudi Arabia",27,Closed Now:See all hours,9 of 50 Middle Eastern in Al Khobar,966 9200 02690, 60 -  160, Lusin,4.0 
Riyadh Road Next to Krispy Kreme, Al Hofuf,Eastern_Province,", Italian, Pizza", Italian,"Riyadh Road Next to Krispy Kreme, Al Hofuf, Al Ahsa 36421 Saudi Arabia",31,+ Add hours,1 of 5 Italian in Al Hofuf,966 9200 17777,, Maestro Pizza,4.5 
Al Malik Khalid Street InterContinental Al Ahsa, Al Ahsa 31982 Saudi Arabia,Eastern_Province,"  , Cafe", Cafe,"Al Malik Khalid Street InterContinental Al Ahsa, Al Ahsa 31982 Saudi Arabia",19,Closed Now:See all hours,1 of 3 Cafe in Al Ahsa,966 13 533 5555, 30 -  90, Al Maha Lounge,4.5 
Al Bandariyah,,Eastern_Province,", Steakhouse, Barbecue", Steakhouse,"Al Bandariyah,, Al Khobar Saudi Arabia",35,Closed Now:See all hours,5 of 10 Steakhouse in Al Khobar,966 13 849 3800,, Lucca Steak House,4.0 
Prince Turki Street Coordinates 26.28929, 50.22102,Eastern_Province,"  , American", American,"Prince Turki Street Coordinates 26.28929, 50.22102, Al Khobar 34414 Saudi Arabia",72,+ Add hours,10 of 40 American in Al Khobar,966 9200 04123, 94 -  376, Friday's,4.0 
7th Street, Al Khobar Saudi Arabia,Eastern_Province,"  , Arabic", Arabic,"7th Street, Al Khobar Saudi Arabia",16,+ Add hours,2 of 21 Arabic in Al Khobar,,, Shawerma Helil,4.5 
Prince Humud Street, Al Khobar Saudi Arabia,Eastern_Province,"  , Cafe, Vegetarian Friendly, Vegan Options", Cafe,"Prince Humud Street, Al Khobar Saudi Arabia",35,+ Add hours,7 of 47 Cafe in Al Khobar,966 13 855 6999,, Vicoli Lounge,4.0 
6504,King Abdul Aziz Street Between Al Hugaet Tower and Sabb Bank,Eastern_Province,"  , Indian, Vegetarian Friendly, Vegan Options", Indian,"6504,King Abdul Aziz Street Between Al Hugaet Tower and Sabb Bank, Al Khobar 31952 Saudi Arabia",105,Closed Now:See all hours,3 of 31 Indian in Al Khobar,966 13 887 6784, 75 -  113, Queen Of India,3.5 
Prince Faisal Bin Fahad Street, Al Khobar 34436 Saudi Arabia,Eastern_Province,"  , International, Mediterranean, Turkish", International,"Prince Faisal Bin Fahad Street, Al Khobar 34436 Saudi Arabia",81,Closed Now:See all hours,12 of 29 International in Al Khobar,966 13 802 3322, 20 -  35, Big Chefs,4.0 
1st Street near Al Rahmaniya Center, Al Khobar 34429 Saudi Arabia,Eastern_Province,"  , Asian, Thai, Vegetarian Friendly", Asian,"1st Street near Al Rahmaniya Center, Al Khobar 34429 Saudi Arabia",54,+ Add hours,11 of 43 Asian in Al Khobar,966 13 893 2809,, Phuket Restaurant,4.0 
Bin bassam al andalusi street Al Bandarya area, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , International, Vegetarian Friendly, Vegan Options", International,"Bin bassam al andalusi street Al Bandarya area, Al Khobar 31952 Saudi Arabia",37,+ Add hours,13 of 29 International in Al Khobar,966 3 845 2888,, Twist Restaurant,4.5 
Abu Bakr Alsiddiq St Khwarizmi Road, Dammam Saudi Arabia,Eastern_Province,", Fast Food, Middle Eastern, Vegan Options", Fast Food,"Abu Bakr Alsiddiq St Khwarizmi Road, Dammam Saudi Arabia",32,+ Add hours,3 of 11 Fast Food in Dammam,966 56 216 5116, 10 -  36, Vitamin Palace,4.0 
King AbdulAziz street, Al Khobar Saudi Arabia,Eastern_Province,"  , Seafood, Asian, Halal", Seafood,"King AbdulAziz street, Al Khobar Saudi Arabia",55,+ Add hours,7 of 20 Seafood in Al Khobar,966 13 894 8955,, Banoosh Restaurant,4.0 
Dhahran Main Road Jarir Plaza, Dhahran Saudi Arabia,Eastern_Province,"  , American, Vegetarian Friendly", American,"Dhahran Main Road Jarir Plaza, Dhahran Saudi Arabia",85,+ Add hours,2 of 9 American in Dhahran,011-966-3-868-6440,, Applebee's Dhahran,3.5 
8593-32242-3513 18th Street, Dammam Saudi Arabia,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"8593-32242-3513 18th Street, Dammam Saudi Arabia",49,+ Add hours,15 of 103 Restaurants in Dammam,966 56 182 8085,, Paragon Restaurant,4.0 
Al Jubail Saudi Arabia,,Eastern_Province,  ,Restaurants,Al Jubail Saudi Arabia,23,Closed Now:See all hours,12 of 73 Restaurants in Al Jubail,966 13 367 0999,, Tandoori House,4.5 
Mashoor Street, Al Jubail 35513 Saudi Arabia,Eastern_Province,"  , Indian, Asian, Diner", Indian,"Mashoor Street, Al Jubail 35513 Saudi Arabia",42,Closed Now:See all hours,3 of 14 Indian in Al Jubail,966 56 272 5395, 15 -  150, Grand Dunes Indo-Arab Family Restaurant,4.5 
10th Street, Dammam Saudi Arabia,Eastern_Province,"  , Chinese, Indian, Asian", Chinese,"10th Street, Dammam Saudi Arabia",57,+ Add hours,3 of 8 Chinese in Dammam,,, Ghazi resturant,4.0 
Prince Faisal Street, Al Khobar Saudi Arabia,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"Prince Faisal Street, Al Khobar Saudi Arabia",174,+ Add hours,4 of 31 Indian in Al Khobar,966 3 887 7868,, Copper Chandni,3.5 
Prince Faisal Bin Fahad St Opposite to Parkers Resturaunt, Al Khobar 34439 Saudi Arabia,Eastern_Province,"  , Barbecue", Barbecue,"Prince Faisal Bin Fahad St Opposite to Parkers Resturaunt, Al Khobar 34439 Saudi Arabia",23,+ Add hours,7 of 21 Barbecue in Al Khobar,966 57 104 9766,, Oak Smokehouse,4.5 
Al Khalij Rd, Al Hofuf,Eastern_Province,"  , Indian, Asian, Arabic", Indian,"Al Khalij Rd, Al Hofuf, Al Ahsa 36362 Saudi Arabia",40,Closed Now:See all hours,1 of 1 Indian in Al Hofuf,966 13 581 1100, 56 -  376, Bharat Indian Kitchen,4.0 
22nd Street, Al Khobar Saudi Arabia,Eastern_Province,"  , Italian, Pizza, Fast Food", Italian,"22nd Street, Al Khobar Saudi Arabia",22,+ Add hours,7 of 31 Italian in Al Khobar,966 3 896 1213,, Rolando's Pizzeria,4.5 
